Country,Artificial Surfaces,Cropland,Grassland,Tree Covered Areas,Shrubs Covered Areas,"Herbaceous vegetation, aquatic or regularly flooded",Mangroves,Sparse vegetation,Baresoil,Snow and glaciers,Waterbodies
Spain,8215.05,248262.71,30725.09,144485.19,58979.03,715.71,0.00,9261.34,2095.61,1.27,4180.06
Sri Lanka,462.50,30274.11,61.73,26973.57,5912.72,0.00,38.09,5.91,18.55,0.00,2534.36
Sudan,5814.95,243929.91,217264.33,160122.06,157616.83,4.17,0.00,103633.58,964471.83,0.00,4184.75
Suriname,0.00,622.57,75.85,140102.85,848.61,1050.80,428.58,0.00,0.00,0.00,1991.44
Swaziland,58.32,5184.78,3680.10,2371.80,3405.52,0.00,0.00,0.00,2390.98,0.00,32.99
Sweden,5441.64,32262.59,3304.10,308248.47,27800.19,22780.73,0.00,6497.14,3553.00,252.49,36024.79
Switzerland,2400.65,8586.52,8371.93,12766.57,946.11,26.45,0.00,1782.14,3947.48,1180.23,1414.12
Syrian Arab Republic,69.90,54553.59,474.39,1478.07,321.52,0.00,0.00,8843.06,118965.74,0.00,1239.49
São Tomé and Principe,0.00,453.86,12.82,511.14,0.00,0.00,7.69,0.00,0.00,0.00,48.72
Taiwan,3686.73,1228.76,659.28,24786.58,3482.47,23.59,4.66,1.55,153.70,0.00,1981.36
Tajikistan,0.00,19782.30,51328.74,841.54,0.00,54.69,0.00,3827.65,43612.37,21357.71,1430.74
Thailand,3646.60,302806.48,437.80,182557.99,13497.79,3729.86,2640.68,0.00,55.86,0.00,5048.10
The former Yugoslav Republic of Macedonia,311.37,6755.41,3504.31,13766.53,401.70,15.54,0.00,69.97,4.52,0.00,559.32
Timor-Leste,5.07,6762.83,0.00,7901.83,94.66,0.00,1.69,0.00,0.00,0.00,307.60
Togo,126.65,30820.74,270.76,8816.85,16608.24,0.00,0.00,0.85,13.59,0.00,242.69
Tonga,0.00,2.39,6.39,322.48,5.59,0.00,0.00,0.00,0.00,0.00,266.90
Trinidad and Tobago,18.49,485.33,412.95,3946.40,0.00,0.84,71.45,1.68,0.00,0.00,192.52
Tunisia,3758.32,49870.20,4776.39,6393.86,447.57,138.59,0.00,2840.05,87314.03,0.00,1073.40
Turkey,9450.67,304261.11,103457.02,213131.08,9125.00,2549.23,0.00,101744.65,22456.60,5.95,13894.65
Turkmenistan,38.26,32868.97,47291.74,276.51,207.68,3.43,0.00,5271.66,377065.60,12.38,7743.19
Tuvalu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.17
Uganda,330.74,70450.94,31780.84,35105.36,55128.72,11748.11,0.00,13.68,2.56,0.00,37202.47
Ukraine,4571.39,457128.90,1865.44,91672.91,6.36,1454.20,0.00,2268.38,216.25,0.00,12825.76
United Arab Emirates,646.91,1399.40,0.00,0.00,4.68,0.00,14.01,27.98,68501.90,0.00,486.01
United Kingdom,18679.29,71754.80,89599.23,22266.79,21564.80,11003.47,77.25,4765.15,904.98,3259.58,5873.21
United Republic of Tanzania,1465.19,130646.83,93216.26,363902.13,234927.97,53920.46,0.00,195.48,1394.30,0.00,61781.18
United States of America,211318.42,2021048.00,1324864.28,2435599.84,2491214.61,313620.00,2669.63,170722.20,116465.97,74931.78,312548.08
Uruguay,648.60,34556.83,129161.05,9064.37,99.38,12.19,0.00,18.50,357.12,0.00,3418.74
Uzbekistan,277.39,77776.85,13935.27,233.92,0.00,10.94,0.00,34116.89,301284.91,308.62,19990.54
Vanuatu,0.00,167.64,23.89,10529.50,14.79,0.00,5.75,0.00,61.62,0.00,1497.86
Venezuela,1428.99,26838.36,272548.40,576795.24,9531.92,4897.18,2691.49,2230.30,93.14,60.24,15570.74
Vietnam,100.39,135825.43,3356.21,145193.54,37940.75,51.20,629.73,25.15,167.20,0.00,5599.02
Western Sahara,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.10,90463.69,0.00,19.19
Yemen,390.35,8702.93,1146.27,354.60,40.91,0.00,89.35,121.77,419267.09,0.00,22924.88
Zambia,656.56,51605.16,111821.16,359978.97,210112.00,947.44,0.00,53.40,27.32,0.00,14356.07
Zimbabwe,1477.75,128157.99,21721.64,183814.85,49743.07,0.00,0.00,0.00,1153.91,0.00,3261.07
